cpd:C00001	H2O; Water
cpd:C00002	ATP; Adenosine 5'-triphosphate
cpd:C00003	NAD+; NAD; Nicotinamide adenine dinucleotide; DPN; Diphosphopyridine nucleotide; Nadide
cpd:C00004	NADH; DPNH; Reduced nicotinamide adenine dinucleotide
cpd:C00005	NADPH; TPNH; Reduced nicotinamide adenine dinucleotide phosphate
cpd:C00006	NADP+; NADP; Nicotinamide adenine dinucleotide phosphate; beta-Nicotinamide adenine dinucleotide phosphate; TPN; Triphosphopyridine nucleotide
cpd:C00007	Oxygen; O2
cpd:C00008	ADP; Adenosine 5'-diphosphate
cpd:C00009	Orthophosphate; Phosphate; Phosphoric acid; Orthophosphoric acid
cpd:C00010	CoA; Coenzyme A; CoA-SH
cpd:C00011	CO2; Carbon dioxide
cpd:C00012	Peptide
cpd:C00013	Diphosphate; Diphosphoric acid; Pyrophosphate; Pyrophosphoric acid; PPi
cpd:C00014	Ammonia; NH3
cpd:C00015	UDP; Uridine 5'-diphosphate
cpd:C00016	FAD; Flavin adenine dinucleotide
cpd:C00017	Protein
cpd:C00018	Pyridoxal phosphate; Pyridoxal 5-phosphate; Pyridoxal 5'-phosphate; PLP
cpd:C00019	S-Adenosyl-L-methionine; S-Adenosylmethionine; AdoMet; SAM
cpd:C00020	AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate
cpd:C00021	S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine
cpd:C00022	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid
cpd:C00024	Acetyl-CoA; Acetyl coenzyme A
cpd:C00025	L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate
cpd:C00026	2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid
cpd:C00027	Hydrogen peroxide; H2O2; Oxydol
cpd:C00029	UDP-glucose; UDPglucose; UDP-D-glucose; Uridine diphosphate glucose; UDP-alpha-D-glucose
cpd:C00031	D-Glucose; Grape sugar; Dextrose; Glucose; D-Glucopyranose
cpd:C00032	Heme; Haem; Protoheme; Heme B; Protoheme IX
cpd:C00033	Acetate; Acetic acid; Ethanoic acid
cpd:C00034	Manganese
cpd:C00035	GDP; Guanosine 5'-diphosphate; Guanosine diphosphate
cpd:C00036	Oxaloacetate; Oxalacetic acid; Oxaloacetic acid; 2-Oxobutanedioic acid; 2-Oxosuccinic acid; keto-Oxaloacetate
cpd:C00037	Glycine; Aminoacetic acid; Gly
cpd:C00038	Zinc cation; Zn2+; Zn(II); Zinc ion
cpd:C00039	DNA; DNAn; DNAn+1; (Deoxyribonucleotide)n; (Deoxyribonucleotide)m; (Deoxyribonucleotide)n+m; Deoxyribonucleic acid
cpd:C00040	Acyl-CoA; Acyl coenzyme A
cpd:C00041	L-Alanine; L-2-Aminopropionic acid; L-alpha-Alanine
cpd:C00042	Succinate; Succinic acid; Butanedionic acid; Ethylenesuccinic acid
cpd:C00043	UDP-N-acetyl-alpha-D-glucosamine; UDP-N-acetyl-D-glucosamine; UDP-N-acetylglucosamine
cpd:C00044	GTP; Guanosine 5'-triphosphate
cpd:C00045	Amino acid; Amino acids
cpd:C00046	RNA; RNAn; RNAn+1; RNA(linear); (Ribonucleotide)n; (Ribonucleotide)m; (Ribonucleotide)n+m; Ribonucleic acid
cpd:C00047	L-Lysine; Lysine acid; 2,6-Diaminohexanoic acid
cpd:C00048	Glyoxylate; Glyoxalate; Glyoxylic acid
cpd:C00049	L-Aspartate; L-Aspartic acid; 2-Aminosuccinic acid; L-Asp
cpd:C00051	Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione
cpd:C00052	UDP-alpha-D-galactose; UDP-D-galactose; UDP-galactose; UDP-D-galactopyranose; UDP-alpha-D-galactopyranose
cpd:C00053	3'-Phosphoadenylyl sulfate; 3'-Phosphoadenosine 5'-phosphosulfate; 3'-Phospho-5'-adenylyl sulfate; PAPS
cpd:C00054	Adenosine 3',5'-bisphosphate; PAP; 3'-Phosphoadenylate; Phosphoadenosine phosphate
cpd:C00055	CMP; Cytidine-5'-monophosphate; Cytidylic acid
cpd:C00058	Formate; Methanoic acid; Formic acid
cpd:C00059	Sulfate; Sulfuric acid
cpd:C00060	Carboxylate; R-COOH; Monocarboxylate; Carboxylic acid
cpd:C00061	FMN; Riboflavin-5-phosphate; Flavin mononucleotide
cpd:C00062	L-Arginine; (S)-2-Amino-5-guanidinovaleric acid; L-Arg
cpd:C00063	CTP; Cytidine 5'-triphosphate; Cytidine triphosphate
cpd:C00064	L-Glutamine; L-2-Aminoglutaramic acid
cpd:C00065	L-Serine; L-2-Amino-3-hydroxypropionic acid; L-3-Hydroxy-alanine; Serine
cpd:C00066	tRNA; tRNA(n); tRNA(n+1); transfer RNA
cpd:C00067	Formaldehyde; Methanal; Oxomethane; Oxomethylene; Methylene oxide; Formalin
cpd:C00068	Thiamin diphosphate; Thiamine diphosphate; Thiamin pyrophosphate; TPP; ThPP
cpd:C00070	Copper; Cu+; Cu2+; Cu(II)
cpd:C00071	Aldehyde; RCHO
cpd:C00072	Ascorbate; Ascorbic acid; L-Ascorbate; L-Ascorbic acid; Vitamin C
cpd:C00073	L-Methionine; Methionine; L-2-Amino-4methylthiobutyric acid
cpd:C00074	Phosphoenolpyruvate; Phosphoenolpyruvic acid; PEP
cpd:C00075	UTP; Uridine 5'-triphosphate; Uridine triphosphate
cpd:C00076	Calcium cation; Ca2+; Calcium(2+); Calcium ion
cpd:C00077	L-Ornithine; (S)-2,5-Diaminovaleric acid; (S)-2,5-Diaminopentanoic acid; (S)-2,5-Diaminopentanoate
cpd:C00078	L-Tryptophan; Tryptophan; (S)-alpha-Amino-beta-(3-indolyl)-propionic acid
cpd:C00079	L-Phenylalanine; (S)-alpha-Amino-beta-phenylpropionic acid
cpd:C00080	H+; Hydron
cpd:C00081	ITP; Inosine 5'-triphosphate; Inosine triphosphate; Inosine tripolyphosphate
cpd:C00082	L-Tyrosine; (S)-3-(p-Hydroxyphenyl)alanine; (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid; Tyrosine
cpd:C00083	Malonyl-CoA; Malonyl coenzyme A
cpd:C00084	Acetaldehyde; Ethanal
cpd:C00085	D-Fructose 6-phosphate; D-Fructose 6-phosphoric acid; Neuberg ester
cpd:C00086	Urea; Carbamide
cpd:C00087	Sulfur; S; Elemental sulfur
cpd:C00088	Nitrite
cpd:C00089	Sucrose; Cane sugar; Saccharose; 1-alpha-D-Glucopyranosyl-2-beta-D-fructofuranoside
cpd:C00090	Catechol; 1,2-Benzenediol; o-Benzenediol; 1,2-Dihydroxybenzene; Brenzcatechin; Pyrocatechol
cpd:C00091	Succinyl-CoA; Succinyl coenzyme A
cpd:C00092	D-Glucose 6-phosphate; Glucose 6-phosphate; Robison ester
cpd:C00093	sn-Glycerol 3-phosphate; Glycerophosphoric acid; D-Glycerol 1-phosphate
cpd:C00094	Sulfite; Sulfurous acid
